Id;Hersteller;Bezeichnung;Notizblockphoto;AnzPhotos;Ab Mission;Ab Tag;verfügbar ab;Spann- weite (m);Länge (m);Höhe (m);Max. Start- gewicht kg;Passa- giere;Vreise kph;Reichweite km;Triebwerke;Schub (lb);Besat- zung;Service ;Fuel max. (l);Verbrauch (l/h);Neupreis;Wartungs- faktor;Bemerkung 
241;Airbus Industrie;A330-200;0;0;0;0;1998;60,3;58,8;17,9;242000;293;871;13450;2 General Electric CF6-80E1A4 or Rolls-Royce Trent 772;67500;2;5;139090;7200;55000000;0,9;The shorter and longer-range A330 variant. Popular for transatlantic and transpacific operations, offering 787-like capability at lower cost.
242;Airbus Industrie;A330-300;0;0;0;0;1993;60,3;63,7;16,8;242000;335;871;10500;2 General Electric CF6-80E1A2 or Rolls-Royce Trent 768;67500;2;6;97530;7500;58000000;0,9;The original and longer A330 variant, dominating medium-to-long haul routes. Cathay Pacific and Thai Airways built large A330-300 fleets.
244;Airbus Industrie;A330-800neo;0;0;0;0;2020;64,0;58,8;17,9;251000;257;912;15094;2 Rolls-Royce Trent 7000;72000;2;5;139090;6200;65000000;0,8;The ultra-long-range neo variant, capable of flying non-stop from Europe to Australia. Hawaii Airlines was an early operator.
243;Airbus Industrie;A330-900neo;0;0;0;0;2018;64,0;63,7;16,8;251000;310;912;13334;2 Rolls-Royce Trent 7000;72000;2;6;139090;6500;70000000;0,8;New engine option A330 with Trent 7000 engines, cutting fuel burn by 14%. Features an Airspace cabin interior with wider seats and mood lighting.
245;Airbus Industrie;A340-200;0;0;0;0;1993;60,3;59,4;16,8;257000;261;881;15000;4 CFM International CFM56-5C2;31200;2;5;139090;9800;58000000;1,1;The shorter A340 variant with exceptional range. Air France used it on thin ultra-long-haul routes where twin-engine ETOPS was not yet approved.
246;Airbus Industrie;A340-300;0;0;0;0;1993;60,3;63,7;16,8;271000;295;881;13700;4 CFM International CFM56-5C4;34000;2;6;139090;10200;62000000;1,1;The standard A340, popular with European carriers for intercontinental routes. Lufthansa and Swiss operated large fleets before the A350 arrived.
247;Airbus Industrie;A340-500;0;0;0;0;2002;63,4;67,9;17,1;372000;313;881;16670;4 Rolls-Royce Trent 553;53000;2;5;195545;11500;88000000;1,2;Ultra-long-range A340 capable of non-stop flights between Singapore and New York. Emirates and Singapore Airlines operated these on extreme routes.
248;Airbus Industrie;A340-600;0;0;0;0;2002;63,4;75,4;17,3;368000;380;881;14600;4 Rolls-Royce Trent 556;56000;2;7;195545;12200;96000000;1,2;The longest commercial airliner of its era, competing directly with the 747-400. Lufthansa and Iberia were the largest operators.
250;Airbus Industrie;A350-1000;0;0;0;0;2017;64,7;73,8;17,1;316000;369;910;16100;2 Rolls-Royce Trent XWB-97;97000;2;6;158791;7800;125000000;0,7;The larger A350 variant, directly competing with the 777X. Qatar Airways launched operations and uses it on ultra-long-haul routes.
249;Airbus Industrie;A350-900;0;0;0;0;2014;64,7;66,8;17,1;280000;369;910;15000;2 Rolls-Royce Trent XWB-84;84000;2;6;158000;7300;110000000;0,7;Airbus's answer to the 787, built from 70% composite materials. Qatar Airways, Singapore Airlines and Cathay Pacific are major operators.
251;Airbus Industrie;A380-800;0;0;0;0;2007;79,8;72,7;24,1;575000;555;903;15200;4 Rolls-Royce Trent 970;70000;2;6;320000;13000;170000000;0,9;The world's largest commercial airliner, with a full double-deck cabin. Emirates operates by far the largest fleet, transforming hub traffic at Dubai.
271;ATR;ATR 42-600;0;0;0;0;2009;24,6;22,7;7,6;18600;48;556;1326;2 Pratt & Whitney Canada PW127M Turboprops;2475;2;1;6370;1100;8000000;0,9;Latest ATR 42 variant with new avionics and improved cabin. Ideal for thin short-haul routes where jets are uneconomical.
272;ATR;ATR 72-600;0;0;0;0;2009;27,1;27,2;7,7;23000;70;510;1528;2 Pratt & Whitney Canada PW127M Turboprops;2475;2;2;6370;1300;10500000;0,9;The most popular regional turboprop of the modern era, used by hundreds of airlines on short-haul routes worldwide. Extremely economical on thin routes.
116;BAC Aerospatiale;Concorde;999XL;1;4;3;1976;25. Mai;62.1;11. Mrz;185065;100;2150;6230;4 Rolls-Royce / SNECMA Olympus 593s;38000;3;2;119500;25629;30000000;01. Aug;Concorde is extremely quick but also extremely exclusive. It can only seat 100 persons and a tall man cannot stand up straight in the cabin. On the other hand, this supersonic aircraft travels at an incredible speed.
265;BAe;BAe 146-200;0;0;0;0;1983;26,3;28,6;8,6;42185;100;750;2650;4 Avco Lycoming ALF 502R-5;6970;2;3;11800;4600;16000000;1,3;The quiet four-engine regional jet, ideal for city centre airports with noise restrictions. Air Wisconsin and TNT Airways were operators.
274;BAe;BAe ATP;0;0;0;0;1988;30,6;26,0;7,1;22930;64;493;1800;2 Pratt & Whitney Canada PW126A Turboprops;2653;2;2;6370;1200;7200000;1,1;Advanced Turboprop from British Aerospace, stretched from the HS 748. Operated by Manx Airlines and British Midland on UK regional routes.
200;Boeing;707-120;0;0;0;0;1958;39,9;44,2;12,7;116818;179;918;5790;4 Pratt & Whitney JT3C-6;13500;3;4;90300;13000;12600000;1,3;The original 707 variant that launched the jet age for commercial aviation. Powered by four JT3C turbojets, the -120 opened transcontinental US routes in 1958.
117;Boeing;707-320C;999XL;1;0;0;1961;44.4;46.6;11;151300;189;975;5840;4 Pratt & Whitney JT4A-11 ;7938;3;4;92250;15345;14175000;01. Mrz;The first prototype of the 707 jet flew in 1954. It was used very successfully for years, and the 707 C here is the long-range version. It is no longer the most modern plane, but has been one of the most reliable ones throughout this period.
222;Boeing;717-200;0;0;0;0;1999;28,4;37,8;8,9;54885;117;811;3815;2 Rolls-Royce BR715;18500;2;3;21190;3900;30000000;1;Originally the MD-95, redesignated after the Boeing-McDonnell Douglas merger. AirTran and then Delta operated large fleets on US regional routes.
118;Boeing;720;999XL;1;0;0;1963;39.8;41.8;11;92000;165;965;6835;4 Pratt & Whitney JT3D-3;8165;3;3;79925;11000;14025000;01. Feb;The little sister of the 707 was introduced in 1960. Fuel consumption and efficiency were improved and the range was increased. Only 154 planes were built.
201;Boeing;727-100;0;0;0;0;1963;32,9;40,6;10,4;72575;131;960;3200;3 Pratt & Whitney JT8D-7;14000;3;3;18135;12000;13500000;1,2;The original 727 variant with a shorter fuselage than the -200. Its three rear-mounted engines and T-tail became iconic in short-haul service.
125;Boeing;727-200;999XL;1;0;0;1964;32,91;46,69;10,36;95000;189;1000;4700;3 Pratt & Whitney JT 25/17R;33000;3;3;25000;15000;26000000;1,2;Five years after Boeing joined in the middle-range business, the model 727 was designed. The 727 is available in a version that can be quickly converted from a passenger to a cargo plane.
210;Boeing;737 MAX 10;0;0;0;0;2021;35,9;43,8;12,3;89765;230;839;6110;2 CFM International LEAP-1B;29317;2;5;25817;2900;64000000;0,8;The longest MAX variant, maximising passenger capacity to directly challenge the A321neo on high-density short-haul routes.
208;Boeing;737 MAX 7;0;0;0;0;2019;35,9;35,6;12,3;80286;153;839;7130;2 CFM International LEAP-1B;27300;2;3;25817;2500;46000000;0,8;Smallest of the 737 MAX family, replacing the 737-700. Features LEAP-1B engines and Advanced Technology winglets for improved efficiency.
209;Boeing;737 MAX 8;0;0;0;0;2017;35,9;39,5;12,3;82191;189;839;6570;2 CFM International LEAP-1B;28000;2;4;25817;2600;55000000;0,8;The best-selling MAX variant. After the 2019 grounding and software fixes, it returned to service as one of the most efficient narrowbody jets available.
202;Boeing;737-100;0;0;0;0;1968;28,4;28,6;11,3;49895;107;852;2850;2 Pratt & Whitney JT8D-7;14500;2;2;13640;4200;11000000;1,1;The original and shortest 737 variant. Only 30 were built, making it a rare collector's item among operators.
203;Boeing;737-200;0;0;0;0;1968;28,4;30,5;11,3;52390;130;852;3440;2 Pratt & Whitney JT8D-9A;14500;2;3;16020;4400;13000000;1,1;The stretched and definitive Classic 737. Over 1,000 were built and it became the workhorse of short-haul aviation worldwide through the 1980s.
204;Boeing;737-300;0;0;0;0;1984;28,9;33,4;11,1;62820;149;800;4200;2 General Electric CFM56-3B1;20000;2;3;16033;3200;28000000;1;First of the CFM56-powered Next Generation 737s. Quieter and more fuel-efficient than its predecessors, it modernised short-haul fleets through the 1990s.
100;Boeing;737-400;999XL;1;0;0;1988;28. Sep;36.6;11,1;62800;168;815;3870;2 General Electric/SNECMA CFM56-3C1s;23500;2;3;20800;3050;41000000;1;The Boeing 737-400 is one of the larger versions of the short-range jet. Its fuselage has been extended and thus its capacity increased.
205;Boeing;737-500;0;0;0;0;1987;28,9;31,0;11,1;60555;132;800;4440;2 General Electric CFM56-3C1;20000;2;3;20100;3100;26000000;1;The smallest CFM56 737, replacing the 737-200. Popular with regional carriers needing a short-field capable narrowbody.
206;Boeing;737-700;0;0;0;0;1997;34,3;33,6;12,5;70080;149;833;6370;2 General Electric CFM56-7B24;24200;2;3;26020;2830;44000000;0,9;The smallest Next Generation 737. Southwest Airlines was the launch customer. Features winglets in later variants for extended range.
101;Boeing;737-800;999XL;1;0;10;1998;29. Jun;37.4;11,1;79000;189;815;5420;2 General Electric CFM56-7b;23500;2;3;26020;3050;48000000;1;This is the newest version of the 737 series. By increasing the wing surface and the tank capacity and by using new turbofan jets, the 737-800 can fly greater distances than its predecessors. 
207;Boeing;737-900;0;0;0;0;2001;34,3;42,1;12,5;85130;177;833;5930;2 General Electric CFM56-7B27;27300;2;4;26020;3200;52000000;0,9;The longest Next Generation 737, stretching capacity to compete with the A321. Operated by Alaska Airlines and Lion Air among others.
102;Boeing;747-100;999XL;1;1;0;1971;59.6;70.7;19,3;270155;370;917;7163;4 Pratt & Whitney JT9D-7;46300;3;5;178700;13862;30000000;01. Feb;When introduced in 1970, the 747 (100) amazed everyone with its flying distance and excellent flight performance. Meanwhile, it has been improved several times. The latest version is still in service today.
228;Boeing;747-200;0;0;0;0;1971;64,4;70,7;19,3;377842;452;907;12700;4 Pratt & Whitney JT9D-7A;46300;3;5;198380;13500;36000000;1;The stretched and more powerful 747, becoming the definitive long-range widebody of the 1970s. Operated on all major intercontinental routes.
230;Boeing;747-300;0;0;0;0;1983;64,9;70,7;19,3;377842;496;907;12400;4 Pratt & Whitney JT9D-7R4G2;54750;3;6;204350;13200;55000000;0,9;Added an upper-deck extension for additional seating. Swissair and Lufthansa were major operators before the 747-400 took over.
104;Boeing;747-400 ;999XL;1;3;0;1989;64.9;70.7;19,3;396900;420;927;13490;4 Rolls-Royce RB211-524Hs;60300;3;5;216840;12788;92000000;01. Jan;The latest 747-400 currently in use is the improved long range version of the 747-300 and can be recognized above all by its winglets. It has a fully digital cockpit and needs two crews which have their own rooms to rest in.
103;Boeing;747-400 Domestic;999XL;1;3;20;1989;64.9;70.7;19,3;272155;568;927;3185;4 Rolls-Royce RB211-524Hs;60300;2;6;204350;12788;84000000;.8;The 747-400 Domestic is able to transport more than 500 passengers extremely fast in short-haul air traffic.
231;Boeing;747-8I;0;0;0;0;2012;68,4;76,3;19,4;447696;467;903;14815;4 General Electric GEnx-2B67;66500;2;6;226100;11900;120000000;0,8;The latest and largest 747, with a stretched fuselage and GEnx engines. Lufthansa and Korean Air are among the few operators of this final Queen variant.
229;Boeing;747SP;0;0;0;0;1976;59,6;56,3;19,9;317515;276;939;15400;4 Pratt & Whitney JT9D-7A;46300;3;4;204350;12000;40000000;1;Special Performance 747 with a shortened fuselage for ultra-long-range non-stop operations. Pan Am and South African Airways used it across oceans.
211;Boeing;757-200;0;0;0;0;1982;38,1;47,3;13,6;115680;200;850;7250;2 Rolls-Royce RB211-535E4;40100;2;4;43490;4100;55000000;1;The narrowbody long-range workhorse that bridged short and medium-haul routes. Popular for transatlantic flying from smaller airports.
105;Boeing;757-300;999XL;1;4;0;1998;37.9;47.3;13,6;122470;240;890;6455;2 Rolls-Royce RB211-535E4;40100;2;5;43490;4194;69000000;1;The fuselage of this medium range jet is reminiscent of the 707/727 series and is indeed modeled on it. The plane replaces the 727 and has been available in this version since 1998 onwards.
232;Boeing;767-200;0;0;0;0;1981;47,6;48,5;15,9;142880;224;851;7200;2 Pratt & Whitney JT9D-7R4D;48000;2;4;63216;7000;26000000;1;The original 767, launching a new era of twin-engine widebody operations. United Airlines was the launch customer in 1982.
120;Boeing;767-300 ER;999XL;1;0;0;1988;x;x;x;x;290;1012;9940;2 Rolls Royce-RB211-524D4D;14600;2;4;28000;2800;25000000;1,1;Since 1978, the 767 has been improved again and again.  The latest version 767-300 RE is mainly used by American Airlines.
233;Boeing;767-400ER;0;0;0;0;2000;51,9;61,4;16,9;204120;304;851;10415;2 General Electric CF6-80C2B8F;62100;2;5;91370;7500;38000000;0,9;The stretched and extended range 767, the last new 767 variant. Delta and Continental used it primarily on US domestic and transatlantic routes.
234;Boeing;777-200;0;0;0;0;1995;60,9;63,7;18,5;247210;305;905;9700;2 Pratt & Whitney PW4074;74000;2;5;117340;7800;42000000;0,9;The original 777 variant that launched the world's first ETOPS-180 service. United Airlines inaugurated commercial service in June 1995.
235;Boeing;777-200ER;0;0;0;0;1997;60,9;63,7;18,5;297550;314;905;13080;2 General Electric GE90-90B;90000;2;5;171170;8100;52000000;0,9;Extended Range 777-200, becoming the most popular early 777 variant. British Airways and Air France operated large long-haul fleets.
236;Boeing;777-200LR;0;0;0;0;2006;64,8;63,7;18,5;347450;317;905;15843;2 General Electric GE90-110B1;110000;2;5;202000;8500;68000000;0,9;Long Range variant, the world's longest-range commercial airliner at launch. Can fly non-stop between almost any two cities on Earth.
106;Boeing;777-300;999XL;1;4;10;1998;60.9;73.9;18,5;299370;550;911;10370;2 GE90-85B                                             ;62000;2;6;171170;8290;56000000;.8;Boeing wants to show the European competitors where it's at with this new and ultra-modern aircraft. This double engine long distance plane is a tough rival for the Airbus.
237;Boeing;777-300ER;0;0;0;0;2003;64,8;73,9;18,5;352440;396;905;13650;2 General Electric GE90-115B;115300;2;6;202000;8700;80000000;0,8;The most popular 777 variant, combining high capacity with ultra-long range. Emirates operates the world's largest fleet, transforming hub-and-spoke travel.
240;Boeing;787-10;0;0;0;0;2018;60,1;68,3;17,0;254011;330;903;11910;2 General Electric GEnx-1B or Rolls-Royce Trent 1000TEN;78000;2;6;126920;7000;98000000;0,8;The largest Dreamliner, optimised for high-density medium-to-long haul. Singapore Airlines and United Airlines are major operators.
238;Boeing;787-8;0;0;0;0;2011;60,1;56,7;17,0;227930;242;903;13620;2 General Electric GEnx-1B or Rolls-Royce Trent 1000;64000;2;5;126920;6200;78000000;0,8;The original Dreamliner, featuring composite construction and large windows. All Nippon Airways launched services in 2011, transforming long-haul economics.
239;Boeing;787-9;0;0;0;0;2014;60,1;62,8;17,0;254011;296;903;14140;2 General Electric GEnx-1B or Rolls-Royce Trent 1000;71000;2;5;126920;6500;90000000;0,8;The stretched Dreamliner, offering the optimal balance of capacity and range. Air New Zealand uses it for ultra-long-haul routes to North America.
255;Bombardier;CRJ-200;0;0;0;0;1995;21,2;26,8;6,2;24040;50;860;3150;2 General Electric CF34-3B1;9220;2;1;6630;2000;13000000;1;The definitive 50-seat regional jet, operated by hundreds of US commuter carriers. Cheap to buy but demanding on maintenance and passenger comfort.
256;Bombardier;CRJ-700;0;0;0;0;2001;23,2;32,5;7,6;33838;70;876;3045;2 General Electric CF34-8C1;13790;2;2;13120;2600;22000000;1;Stretched CRJ with 70-seat capacity, bridging regional and mainline operations. United Express and American Eagle operated large fleets.
257;Bombardier;CRJ-900;0;0;0;0;2003;24,9;36,2;7,5;38330;90;876;2876;2 General Electric CF34-8C5;14500;2;3;13120;2900;28000000;1;The 90-seat CRJ, maximising capacity in the regional jet segment. Delta Connection and Lufthansa CityLine are major operators.
269;Bombardier;Dash 8 Q300;0;0;0;0;1989;27,4;25,7;7,5;19505;50;528;1558;2 Pratt & Whitney Canada PW123 Turboprops;2500;2;1;6050;1400;7500000;1;Stretched Dash 8 with 50-seat capacity and active noise suppression system. Air Canada Jazz and Horizon Air operated large Q300 fleets.
273;Bombardier;Dash 8 Q400;0;0;0;0;1999;28,4;32,8;8,4;29257;78;667;2522;2 Pratt & Whitney Canada PW150A Turboprops;5071;2;2;6890;1900;14000000;0,9;High-speed turboprop competing with regional jets on speed while offering lower operating costs. SAS and Air Canada Jazz operate large fleets.
225;British Aircraft Corporation;BAC 1-11-500;0;0;0;0;1968;26,9;32,6;7,5;47400;119;871;2780;2 Rolls-Royce Spey 512-14DW;12550;2;3;11501;5600;9200000;1,2;The stretched Series 500 of the BAC 1-11, extending range and seating. Operated by British Airways and many charter carriers.
278;COMAC;C919;0;0;0;0;2023;35,8;38,9;11,9;77300;168;834;5555;2 CFM International LEAP-1C;27000;2;4;19156;2800;50000000;0,9;China's first domestically developed narrowbody airliner, competing with the A320neo and 737 MAX. COMAC aims to challenge the Western duopoly.
123;de Havilland Canada;DHC 8 Dash 8;999XL;1;0;0;1983;x;x;x;x;40;555;2150;2 Pratt&Whitney Turboprops;8900;2;1;7000;1800;14000000;1;This plane is used both as a civilian and a military aircraft. It is very cheap to maintain and has a very economical fuel consumption.
259;Embraer;E170;0;0;0;0;2004;26,0;29,9;9,7;37200;78;870;3735;2 General Electric CF34-8E;14200;2;2;13985;2800;24000000;0,9;First of the E-Jet family, bringing airline standards to the 70-80 seat market. LOT Polish Airlines and Alitalia Express were launch customers.
260;Embraer;E175;0;0;0;0;2004;26,0;31,7;9,7;40370;88;870;4074;2 General Electric CF34-8E5;14200;2;2;13985;2900;26000000;0,9;Slightly stretched E170, the most popular E-Jet variant in North America due to scope clause provisions. Operates as United Express and American Eagle.
261;Embraer;E190;0;0;0;0;2006;28,7;36,2;10,6;51800;114;870;4537;2 General Electric CF34-10E;18500;2;3;16805;3500;36000000;0,9;The 100-120 seat E-Jet, challenging the A319 and 737-600 in the lower end of the mainline segment. JetBlue and Air Canada Jazz operated large fleets.
263;Embraer;E190-E2;0;0;0;0;2018;31,0;36,2;10,6;56400;106;870;5278;2 Pratt & Whitney PW1900G;18000;2;3;17405;2800;44000000;0,8;Second generation E-Jet with Pratt & Whitney GTF engines, cutting fuel burn by 17%. Wideroe and Azul were among the launch customers.
262;Embraer;E195;0;0;0;0;2006;28,7;38,7;10,6;52290;124;870;4260;2 General Electric CF34-10E5;18500;2;3;16805;3600;38000000;0,9;The largest original E-Jet, maximising the design's capacity. Azul Brazilian Airlines built an all-E195 fleet for domestic operations.
264;Embraer;E195-E2;0;0;0;0;2019;31,0;41,5;10,6;61500;146;870;4205;2 Pratt & Whitney PW1900G;18000;2;4;17405;3100;52000000;0,8;The largest and most capable E2, offering A320neo competition at lower capacity. Operated by Breeze Airways and Azul on thinner routes.
267;Embraer;EMB 120 Brasilia;0;0;0;0;1985;19,8;20,0;6,4;11500;30;555;1750;2 Pratt & Whitney Canada PW118 Turboprops;1800;2;1;3620;800;5800000;1;Brazilian 30-seat turboprop widely used by US regional carriers. Continental Express and Comair operated large fleets throughout the 1990s.
258;Embraer;ERJ-145;0;0;0;0;1996;20,0;29,9;6,8;22000;50;833;2800;2 Rolls-Royce AE3007A1;8917;2;1;6185;1950;12000000;1;Brazil's first regional jet, competing directly with the CRJ-200. Continental Express and American Eagle chose it for 50-seat operations.
223;Fokker;F28-4000;0;0;0;0;1976;25,1;29,6;8,5;33000;85;843;2085;2 Rolls-Royce Spey 555-15H;9850;2;2;12480;5000;10500000;1,2;The stretched F28 variant with increased capacity and improved range. Widely used by European and postcolonial African and Asian carriers.
224;Fokker;Fokker 100;0;0;0;0;1988;28,1;35,5;8,5;44450;107;845;3170;2 Rolls-Royce Tay 620-15;13850;2;3;13890;4000;19000000;1;A modern re-engined successor to the F28, featuring glass cockpit and Tay turbofans. Popular with KLM, Swissair and Australian operators.
268;Fokker;Fokker 50;0;0;0;0;1987;29,0;25,3;8,3;20820;50;530;2700;2 Pratt & Whitney Canada PW125B Turboprops;2500;2;1;6600;1400;8500000;1;Re-engined and modernised successor to the Fokker F27 Friendship. KLM and Luxair used it extensively on short European sectors.
119;Grumman Engineering Corp.;Gulfstream II;999XL;1;0;0;1966;x;x;x;x;15;950;6000;2 Rolls Royce Spey Mk.511-8;10000;2;1;12000;1800;10000000;1;This little business jet can fly incredibly long distances. An extravagant luxury: small, fast and expensive. Also popular as a private jet and a status symbol. Shock your competitors by purchasing one of these.
112;Ilyushin Sowjetunion;Il 62;999XL;1;1;0;1969;43.2;53.1;12. Mrz;164996;198;880;9200;4 Soloviev D30KU;11000;3;3;110000;10500;9900000;01. Feb;The II 62 was the first Soviet long-range jet and has been used on domestic flights since the seventies. Its design is reminiscent of the British Vickers VC10.
113;Ilyushin Sowjetunion;Il 86;999XL;1;1;0;1980;48.00;59.8;15. Aug;205000;380;950;4950;4 Kuznetsov NK86;13000;2;5;53000;9800;17100000;01. Mai;Compared with other Russian planes, the II 86 is a very modern jet. It is has been used by Aeroflot since 1980. The modernized version is a solid plane, if sufficiently maintained.
254;Ilyushin Sowjetunion;Il-96-300;0;0;0;0;1992;60,1;55,4;15,7;250000;300;870;13500;4 Aviadvigatel PS-90A;35270;3;4;152000;9000;30000000;1,2;Russia's widebody airliner, used by Aeroflot on intercontinental routes. A development of the Il-86 with Western-inspired avionics and greater range.
115;Lockheed Aircraft Corp.;L-1011 Tristar 500;999XL;1;1;0;1980;50.1;50.05;17;225000;300;800;8500;3 Rolls Royce RB211-524B;22700;3;4;80000;9100;30000000;01. Feb;The 500 is the last version of the well-known Tristar, which was introduced as a rival for the DC10. A total of 250 of these aircraft have been sold.
253;Lockheed Aircraft Corp.;L-1011-1 TriStar;0;0;0;0;1972;47,3;54,4;16,9;195045;400;890;7420;3 Rolls-Royce RB211-22B;42000;3;5;91630;10500;28000000;1,1;The original TriStar variant, competing with the DC-10 for wide-body supremacy. Eastern Air Lines and TWA were launch customers.
126;Lockheed Corp.;C5A Galaxy;999XL;1;0;0;1968;67,88;75,54;19,85;115000;345;919;6000;4 General Electric TF-GE 1;40000;3;5;9000;14000;25000000;1,6;This US machine is also used by the military. The price for a new plane is relatively moderate, but one should not underestimate the regular costs for the Galaxy.
107;McDonnell Douglas;DC 10;999XL;1;1;0;1976;50.4;55.3;17. Jul;251701;380;965;9252;3 General Electric CF6-50C2s;52200;3;5;138730;9376;29000000;1;The position of the engines of this plane is unusual. It has been developed for short, medium and long-range flights. Even today the current version of this jet is very popular.
122;McDonnell Douglas;DC 8 Super 70;999XL;1;0;0;1980;x;x;x;x;259;932;12600;4 Rolls Royce Turbofan CFM56;18000;3;5;115000;14000;80000000;1,4;The 70 series is an upgrade of the 60 series. First of all, the engines are more powerful and efficient. With these values it is a serious rival of the Boeing 747.
219;McDonnell Douglas;DC-9-30;0;0;0;0;1966;28,5;36,4;8,4;49000;115;925;2780;2 Pratt & Whitney JT8D-9;12250;2;2;14170;5500;9500000;1,2;The most popular DC-9 variant, stretching the fuselage for greater capacity. Became a staple of US domestic aviation through the 1970s and 1980s.
121;McDonnell Douglas;MD 81;999XL;1;0;0;1978;x;x;x;x;172;950;2900;2 Pratt&Whitney JTD8D-209;8400;2;2;10000;3000;20000000;1,1;"Since its introduction in 1965, the current versions have been continuously extended. The MD80 was also known as the DC9 ""Super 80""."
252;McDonnell Douglas;MD-11;0;0;0;0;1990;51,7;61,2;17,6;286900;323;945;12455;3 General Electric CF6-80C2D1F;61500;2;5;162600;9600;55000000;1,1;The tri-engine successor to the DC-10, with advanced avionics and extended range. KLM and Finnair were major operators; FedEx uses it as freighter.
220;McDonnell Douglas;MD-80;0;0;0;0;1980;32,9;45,1;9,0;63500;172;925;4635;2 Pratt & Whitney JT8D-217;18500;2;3;21000;5800;19000000;1,1;The re-engined and stretched DC-9, becoming one of the most common US domestic jets. American Airlines operated over 350 of the type.
221;McDonnell Douglas;MD-90;0;0;0;0;1993;32,9;46,5;9,0;70760;172;925;3861;2 International Aero Engines V2525-D5;25000;2;3;21600;4400;32000000;1;A further development of the MD-80 with quieter and more efficient IAE V2500 engines. Operated by Delta and United in the US.
